id,kode_sumber,entitas_parent,entitas_child,kategori,tahun,periode,nilai,created_at
134,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang,nan,2010,Triwulan IV,349125.72,2026-07-09 11:56:13.319
135,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang,nan,2010,Tahunan,1280688.56,2026-07-09 11:56:13.319
136,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang Non-migas,nan,2010,Triwulan I,230406.12,2026-07-09 11:56:13.319
137,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang Non-migas,nan,2010,Triwulan II,249144.01,2026-07-09 11:56:13.319
138,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang Non-migas,nan,2010,Triwulan III,263502.48,2026-07-09 11:56:13.319
139,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang Non-migas,nan,2010,Triwulan IV,278826.89,2026-07-09 11:56:13.319
140,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang Non-migas,nan,2010,Tahunan,1021879.49,2026-07-09 11:56:13.319
141,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang migas,nan,2010,Triwulan I,59935.65,2026-07-09 11:56:13.319
142,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang migas,nan,2010,Triwulan II,66107.09,2026-07-09 11:56:13.319
143,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang migas,nan,2010,Triwulan III,62467.5,2026-07-09 11:56:13.319
144,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang migas,nan,2010,Triwulan IV,70298.83,2026-07-09 11:56:13.319
145,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang migas,nan,2010,Tahunan,258809.07,2026-07-09 11:56:13.319
146,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Jasa,nan,2010,Triwulan I,59332.06,2026-07-09 11:56:13.319
147,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Jasa,nan,2010,Triwulan II,60848.61,2026-07-09 11:56:13.319
148,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Jasa,nan,2010,Triwulan III,63326.99,2026-07-09 11:56:13.319
149,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Jasa,nan,2010,Triwulan IV,73523.55,2026-07-09 11:56:13.319
150,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Jasa,nan,2010,Tahunan,257031.21,2026-07-09 11:56:13.319
151,s20102ptadhkmp2010,Diskrepansi Statistik,,nan,2010,Triwulan I,23175.11,2026-07-09 11:56:13.319
152,s20102ptadhkmp2010,Diskrepansi Statistik,,nan,2010,Triwulan II,20783.22,2026-07-09 11:56:13.319
153,s20102ptadhkmp2010,Diskrepansi Statistik,,nan,2010,Triwulan III,2718.39,2026-07-09 11:56:13.319
154,s20102ptadhkmp2010,Diskrepansi Statistik,,nan,2010,Triwulan IV,-46676.71,2026-07-09 11:56:13.319
155,s20102ptadhkmp2010,Diskrepansi Statistik,,nan,2010,Tahunan,0,2026-07-09 11:56:13.319
156,s20102ptadhkmp2010,PRODUK DOMESTIK BRUTO,,nan,2010,Triwulan I,1642356.3,2026-07-09 11:56:13.319
157,s20102ptadhkmp2010,PRODUK DOMESTIK BRUTO,,nan,2010,Triwulan II,1709132,2026-07-09 11:56:13.319
158,s20102ptadhkmp2010,PRODUK DOMESTIK BRUTO,,nan,2010,Triwulan III,1775109.9,2026-07-09 11:56:13.319
159,s20102ptadhkmp2010,PRODUK DOMESTIK BRUTO,,nan,2010,Triwulan IV,1737534.9,2026-07-09 11:56:13.319
160,s20102ptadhkmp2010,PRODUK DOMESTIK BRUTO,,nan,2010,Tahunan,6864133.1,2026-07-09 11:56:13.319
161,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,,nan,2011,Triwulan I,964261.9,2026-07-09 11:56:13.319
162,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,,nan,2011,Triwulan II,980156.57,2026-07-09 11:56:13.319
163,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,,nan,2011,Triwulan III,1016155.36,2026-07-09 11:56:13.319
164,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,,nan,2011,Triwulan IV,1016714.74,2026-07-09 11:56:13.319
165,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,,nan,2011,Tahunan,3977288.56,2026-07-09 11:56:13.319
166,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2011,Triwulan I,363670.38,2026-07-09 11:56:13.319
