tahun,bulan,status,detail,timestamp
2015,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-SEPTEMBER-2015-rev.zip,2026-07-08T12:49:44
2015,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-AGUSTUS2015.zip,2026-07-08T12:49:49
2015,JULI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2015.aspx,2026-07-08T12:49:51
2015,JUNI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2015.aspx,2026-07-08T12:49:52
2015,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-MEI-2015-rev.zip,2026-07-08T12:49:57
2015,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-APRIL2015.zip,2026-07-08T12:50:04
2015,MARET,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2015.aspx,2026-07-08T12:50:06
2015,FEBRUARI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2015.aspx,2026-07-08T12:50:07
2015,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-JANUARI2015.zip,2026-07-08T12:50:12
2014,DESEMBER,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2014.aspx,2026-07-08T12:50:13
2014,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-NOVEMBER%202014_rev1.zip,2026-07-08T12:50:42
2014,OKTOBER,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2014.aspx,2026-07-08T12:50:43
2014,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-SEP2014-rev.zip,2026-07-08T12:50:47
2014,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-AGUSTUS-2014-rev.zip,2026-07-08T12:51:02
2014,JULI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2014.aspx,2026-07-08T12:51:03
